name,abattoir
Liv1,A1
Liv2,A1
Liv3,A1
Liv4,A1
Liv5,A1
Liv6,A1
Liv11,A1
Liv12,A1
Liv13,A1
Liv14,A1
Liv16,A1
Liv17,A1
Liv18,A1
Liv19,A1
Liv21,A1
Liv22,A1
Liv23,A1
Liv24,A1
Liv25,A1
Liv26,A1
Liv27,A1
Liv28,A1
Liv29,A1
Liv30,A1
Liv31,A1
Liv32,A1
Liv33,A1
Liv34,A1
Liv35,A1
Liv36,A1
Liv37,A1
Liv38,A1
Liv39,A1
Liv40,A1
Liv41,A1
Liv42,A1
Liv43,A1
Liv44,A1
Liv45,A1
Liv46,A1
Liv47,A1
Liv48,A1
Liv49,A1
Liv50,A1
Liv51,A1
Liv52,A1
Liv55,A1
Liv56,A1
Liv57,A1
Liv58,A1
Liv59,A1
Liv60,A1
Liv61,A1
Liv62,A1
Liv63,A1
Liv64,A1
Liv65,A1
Liv66,A1
Liv67,A1
Liv68,A1
Liv69,A1
Liv70,A1
Liv71,A1
Liv72,A1
Liv73,A1
Liv74,A1
Liv75,A1
Liv76,A1
Liv77,A1
Liv78,A1
Liv79,A1
Liv80,A1
Liv82,A1
Liv83,A2
Liv84,A2
Liv85,A2
Liv86,A2
Liv87,A2
Liv88,A2
Liv89,A2
Liv90,A2
Liv91,A2
Liv92,A2
Liv93,A2
Liv94,A2
Liv95,A2
Liv96,A2
Liv97,A2
Liv98,A2
Liv99,A2
Liv100,A2
Liv101,A2
Liv102,A2
Liv103,A2
Liv104,A2
Liv105,A2
Liv106,A2
Liv107,A2
Liv108,A2
Liv109,A2
Liv110,A2
Liv111,A2
Liv112,A2
Liv113,A2
Liv114,A2
Liv30MA,A1
Liv30MB,A1
Liv37M,A1
Liv40M,A1
Liv40MC,A1
Liv43M,A1
Liv53M,A1
Liv67M,A1
Liv79MB,A1
Liv95M,A2
Liv96MA,A2
Liv111M,A2
Liv114M,A2
