	Liv111_R1.fastq.gz.out	Liv114M_R1.fastq.gz.out	Liv30_R1.fastq.gz.out	Liv40M_R1.fastq.gz.out	Liv79MB_R1.fastq.gz.out	Liv95M_R1.fastq.gz.out	Liv96MA_R1.fastq.gz.out	Reference
Liv111_R1.fastq.gz.out	0.0	3.0	3.0	1.0	5.0	9.0	1.0	0.0
Liv114M_R1.fastq.gz.out	3.0	0.0	6.0	4.0	6.0	10.0	2.0	3.0
Liv30_R1.fastq.gz.out	3.0	6.0	0.0	4.0	6.0	10.0	4.0	3.0
Liv40M_R1.fastq.gz.out	1.0	4.0	4.0	0.0	6.0	10.0	2.0	1.0
Liv79MB_R1.fastq.gz.out	5.0	6.0	6.0	6.0	0.0	10.0	4.0	5.0
Liv95M_R1.fastq.gz.out	9.0	10.0	10.0	10.0	10.0	0.0	8.0	9.0
Liv96MA_R1.fastq.gz.out	1.0	2.0	4.0	2.0	4.0	8.0	0.0	1.0
Reference	0.0	3.0	3.0	1.0	5.0	9.0	1.0	0.0
